,Name,Market Cap (GBP$ Billion)
0,JPMorgan Chase,286.32
1,Industrial and Commercial Bank of China,252.83
2,Bank of America,238.27
3,Wells Fargo,225.59
4,China Construction Bank,188.52
5,HSBC Holdings PLC,160.59
6,Agricultural Bank of China,148.86
7,Citigroup Inc.,148.8
8,Bank of China,132.91
9,China Merchants Bank,89.8
10,Royal Bank of Canada,89.77
11,Banco Santander,84.74
12,Commonwealth Bank,82.19
13,Mitsubishi UFJ Financial Group,81.78
14,Toronto-Dominion Bank,79.43
15,BNP Paribas,75.63
16,Goldman Sachs,73.76
17,Sberbank of Russia,73.12
18,Morgan Stanley,72.98
19,U.S. Bancorp,69.25
20,HDFC Bank,64.77
21,Itaú Unibanco,63.13
22,Westpac,61.93
23,Scotiabank,57.82
24,ING Group,57.8
25,UBS,55.28
26,Charles Schwab,54.38
27,PNC Financial Services,52.91
28,Lloyds Banking Group,52.19
29,Sumitomo Mitsui Financial Group,49.31
30,Bank of Communications,49.13
31,Australia and New Zealand Banking Group,48.67
32,Banco Bradesco,47.47
33,National Australia Bank,46.72
34,Intesa Sanpaolo,45.43
35,Banco Bilbao Vizcaya Argentaria,44.44
36,Japan Post Bank,44.33
37,The Bank of New York Mellon,43.81
38,Shanghai Pudong Development Bank,43.06
39,Industrial Bank (China),42.03
40,Bank of China (Hong Kong),40.61
41,Bank of Montreal,38.95
42,Crédit Agricole,38.19
43,DBS Bank,37.7
44,Nordea,37.49
45,Capital One,37.43
46,NatWest Group,36.98
47,Mizuho Financial Group,36.63
48,Credit Suisse,35.49
49,Postal Savings Bank of China,35.12
50,China Minsheng Bank,35.1
51,UniCredit,34.99
52,China CITIC Bank,34.75
53,Hang Seng Bank,33.82
54,Société Générale,33.73
55,Barclays,33.58
56,Canadian Imperial Bank of Commerce,31.89
57,Bank Central Asia,31.75
58,Truist Financial,30.7
59,Oversea-Chinese Banking Corp,30.29
60,State Bank of India,29.71
61,State Street,29.13
62,Deutsche Bank,28.31
63,KBC Bank,28.12
64,Danske Bank,27.99
65,Ping An Bank,27.83
66,Standard Chartered,27.33
67,United Overseas Bank,25.73
68,QNB Group,24.58
69,Bank Rakyat,24.23
