_id,title,year,rating,Director
10,Passengers,2016,G,Morten Tyldum
52,Underworld: Blood Wars,2016,unrated,Anna Foerster
35,Res_ident Evil: The Final Chapter,2016,unrated,Richard Gage
13,Rogue One,2016,unrated,Gareth Edwards
31,Why Him?,2016,unrated,John Hamburg
2,Prometheus,2012,unrated,R_idley Scott
32,Top Dog,1978,unrated,Feliks Falk
18,Jason Bourne,2016,unrated,Paul Greengrass
51,Star Wars: Episode VII - The Force Awakens,2015,G,J.J. Abrams
26,Paris pieds nus,2016,unrated,Dominique Abel
12,H_idden Figures,2016,unrated,Theodore Melfi
37,Interstellar,2014,G,Christopher Nolan
11,Fantastic Beasts and Where to Find Them,2016,unrated,Dav_id Yates
22,Manchester by the Sea,2016,unrated,Kenneth Lonergan
14,Moana,2016,G,Ron Clements
33,X-Men: Apocalypse,2016,G,Bryan Singer
100,The Departed,2006,G,Martin Scorsese
30,Assassin's Creed,2016,G,Justin Kurzel
53,Mother's Day,2016,unrated,Garry Marshall
3,Split,2016,unrated,M. Night Shyamalan
1,Guardians of the Galaxy,2014,G,James Gunn
23,Hounds of Love,2016,unrated,Ben Young
50,The Last Face,2016,unrated,Sean Penn
56,Silence,2016,G,Martin Scorsese
17,Hacksaw R_idge,2016,G,Mel Gibson
15,Colossal,2016,G,Nacho Vigalondo
62,The Autopsy of Jane Doe,2016,unrated,André Øvredal
54,John Wick,2014,unrated,Chad Stahelski
34,Deadpool,2016,G,Tim Miller
39,The Magnificent Seven,2016,unrated,Antoine Fuqua
20,Arrival,2016,G,Denis Villeneuve
16,The Secret Life of Pets,2016,unrated,Chris Renaud
21,Gold,2016,unrated,Stephen Gaghan
66,Kingsman: The Secret Service,2014,unrated,Matthew Vaughn
55,The Dark Knight,2008,G,Christopher Nolan
58,Me Before You,2016,unrated,Thea Sharrock
27,Bahubali: The Beginning,2015,G,S.S. Rajamouli
19,Lion,2016,G,Garth Davis
41,Sausage Party,2016,unrated,Greg Tiernan
6,The Great Wall,2016,unrated,Yimou Zhang
43,Don't Fuck in the Woods,2016,unrated,Shawn Burkett
7,La La Land,2016,G,Damien Chazelle
42,Moonlight,2016,unrated,Barry Jenkins
25,Independence Day: Resurgence,2016,unrated,Roland Emmerich
81,Inception,2010,G,Christopher Nolan
38,Doctor Strange,2016,unrated,Scott Derrickson
60,Sully,2016,unrated,Clint Eastwood
57,Don't Breathe,2016,unrated,Fede Alvarez
24,Trolls,2016,unrated,Walt Dohrn
36,Captain America: Civil War,2016,unrated,Anthony Russo
40,5- 25- 77,2016,unrated,Patrick Read Johnson
61,Batman v Superman: Dawn of Justice,2016,unrated,Zack Snyder
_design/e654aff2816dc36cee9c1c00041203ac74282421,,,,
63,The Girl on the Train,2016,unrated,Tate Taylor
47,Miss Sloane,2016,unrated,John Madden
28,Dead Awake,2016,unrated,Phillip Guzman
59,Their Finest,2016,unrated,Lone Scherfig
46,Pirates of the Caribbean: On Stranger T_ides,2007,unrated,Rob Marshall
_design/794d3a1331c7f3304fb7715d2e2b21095f9e1be9,,,,
73,A Monster Calls,2016,unrated,J.A. Bayona
72,Allied,2016,unrated,Robert Zemeckis
29,Bad Moms,2016,unrated,Jon Lucas
4,Sing,2016,unrated,Christophe Lourdelet
5,Suic_ide Squad,2016,G,Dav_id Ayer
45,Lowr_iders,2016,unrated,Ricardo de Montreuil
85,Furious Seven,2015,unrated,James Wan
80,Ghostbusters,2016,unrated,Paul Feig
77,The Avengers,2012,G,Joss Whedon
49,Star Trek Beyond,2016,unrated,Justin Lin
65,The Prestige,2006,G,Christopher Nolan
70,Deepwater Horizon,2016,unrated,Peter Berg
67,Patriots Day,2016,unrated,Peter Berg
68,Mad Max: Fury Road,2015,G,George Miller
76,Pirates of the Caribbean: At World's End,2016,unrated,Gore Verbinski
90,The Accountant,2016,unrated,Gavin O'Connor
84,Gone Girl,2014,G,Dav_id Fincher
48,Fallen,2016,unrated,Scott Hicks
91,Prisoners,2013,G,Denis Villeneuve
89,The Hateful Eight,2015,G,Quentin Tarantino
94,War Dogs,2016,unrated,Todd Phillips
44,The Founder,2016,unrated,John Lee Hancock
71,The Promise,2016,unrated,Terry George
69,Wakefield,2016,unrated,Robin Swicord
87,Live by Night,2016,unrated,Ben Affleck
83,The Wolf of Wall Street,2013,G,Martin Scorsese
_design/f2e6f01a9d833e6d7edf525aeb2a6dccd91456f8,,,,
75,Zootopia,2016,G,Byron Howard
74,Collateral Beauty,2016,unrated,Dav_id F_idel
82,Captain Fantastic,2016,unrated,Matt Ross
78,Inglourious Basterds,2009,G,Quentin Tarantino
95,Avengers: Age of Ultron,2015,G,Joss Whedon
99,Personal Shopper,2016,unrated,Olivier Assayas
8,Mindhorn,2016,unrated,Sean Foley
9,The Lost City of Z,2016,unrated,James Gray
88,Avatar,2009,G,James Cameron
93,The Help,2007,G,Tate Taylor
86,Jurassic World,2015,unrated,Colin Trevorrow
92,Warcraft,2016,unrated,Duncan Jones
79,Pirates of the Caribbean: Dead Man's Chest,2006,unrated,Gore Verbinski
98,The Vo_id,2016,unrated,Jeremy Gillespie
96,The Nice Guys,2016,unrated,Shane Black
97,Kimi no na wa,2016,G,Makoto Shinkai
64,Fifty Shades of Grey,2015,unrated,Sam Taylor-Johnson
